,Step,Loss,Beta,KL,Word,Topo,Assm,PNorm,GNorm,LR
0,99.0,2009.5870313644407,0.0,42.82717553153634,86.06302034854889,59.64391253112581,93.50413116129855,102.67861794757422,12.715671149539862,0.001
1,199.0,1128.2287092208862,0.0,65.80747109651566,93.77282983064651,65.43650612586198,100.0,107.04096915691106,12.898250499263185,0.001
2,299.0,834.6506290435791,0.0,76.52604877948761,96.02173513174057,67.1328562602024,100.0,110.66762849920916,12.13444876855525,0.001
3,399.0,696.0259480476379,0.0,82.19243693351746,96.25491744279861,68.6614995725746,100.0,113.87930739211504,12.2130886072252,0.001
4,499.0,600.9231328964233,0.0,85.35386323928833,97.20905393362045,69.21559124906292,100.0,116.66008761762885,16.217913540955923,0.001
5,599.0,542.5965533256531,0.0,88.35208761692047,97.02225643396378,69.51540532451548,100.0,119.2109954390875,11.906500897525758,0.001
6,699.0,485.1503734588623,0.0,89.92475575208664,97.34683609008789,74.9707628340871,100.0,121.5796192741021,14.864584273738387,0.001
7,799.0,430.26988673210144,0.0,91.7948859333992,98.08319818973541,75.3945693012475,100.0,123.72458909120954,8.730563956276313,0.001
8,899.0,406.23805475234985,0.0,92.01780718564987,98.23107820749283,77.28556613234703,100.0,125.7556361964025,8.992670149053337,0.001
9,999.0,366.39815950393677,0.0,93.35498231649399,98.56597566604614,77.58741945357046,100.0,127.62258414465639,7.199409771975258,0.001
10,1099.0,344.23162865638733,0.0,94.30310893058777,98.55973172187805,80.24425921506696,100.0,129.36755986828894,21.394741823757535,0.001
11,1199.0,380.6702971458435,0.0,93.02947247028351,97.9049665927887,80.26543420796042,100.0,131.56734405383085,11.777403032606117,0.001
12,1299.0,312.13203597068787,0.0,95.05452853441238,98.97117859125137,82.55058058719268,100.0,133.20602290819735,7.389847186734842,0.001
13,1399.0,304.5391869544983,0.0,95.0264904499054,99.02444702386856,83.00547433533563,100.0,134.69457597862274,9.535244828199016,0.001
14,1499.0,306.8995907306671,0.0,94.90943759679794,98.78015410900116,84.0869099424575,100.0,136.4870085889374,7.215608904556045,0.001
15,1599.0,273.3064167499542,0.0,96.17538595199585,99.25034689903259,83.67944703546958,100.0,137.80482639527895,5.177433908570009,0.001
16,1699.0,283.1666394472122,0.0,95.95297974348068,99.02315121889114,85.03818988936794,100.0,139.4195857883024,7.787252339666101,0.001
17,1799.0,267.22756576538086,0.0,96.36167138814926,99.28089040517807,85.92852113862965,100.0,140.84047423570445,8.936913832121396,0.001
18,1899.0,255.1039116382599,0.0,96.49607801437378,99.47816956043243,86.73359868126764,100.0,142.1197460093678,8.481735141429018,0.001
19,1999.0,256.63123738765717,0.0,96.5926239490509,99.14401078224182,87.93153550874969,100.0,143.52543836424687,8.196734840930741,0.001
20,2099.0,244.80527091026306,0.0,96.44784808158875,99.56377565860748,88.95098840955633,100.0,144.78975040907054,7.0449986090973455,0.001
21,2199.0,255.19654190540314,0.0,96.42326807975769,99.14123690128326,90.24978796154808,100.0,146.34425334760024,8.762963828408061,0.001
22,2299.0,260.7491718530655,0.0,95.97092348337173,99.11108726263046,89.3732346710557,100.0,148.04602020209424,8.629508898151563,0.001
23,2399.0,237.90824949741364,0.0,96.66661781072617,99.22121715545654,91.81483397549802,100.0,149.42499029970398,6.528237752213378,0.001
24,2499.0,234.37791419029236,0.0,96.71208667755127,99.3368968963623,91.87312626793694,100.0,150.57731497745343,9.962540942403045,0.001
25,2599.0,236.35589158535004,0.0,96.66010010242462,99.25473374128342,91.64094342263054,100.0,151.88026770304378,6.419570270162663,0.001
26,99.0,199.94560658931732,0.0,97.91381645202637,99.69001305103302,92.99483769233524,100.0,152.82567958987244,5.65891283257383,0.0009000000000000001
27,199.0,198.229590177536,0.0,97.99404990673065,99.69147777557373,93.19031925221387,100.0,153.64797510644067,6.504577708617709,0.0009000000000000001
28,299.0,201.06992113590238,0.0,97.97105300426483,99.62746888399124,92.54541007288407,100.0,154.45731153026674,3.890991920419532,0.0009000000000000001
29,399.0,201.39234066009521,0.0,97.89677500724792,99.7029932141304,93.40853426130722,100.0,155.18656412239085,3.596342788110795,0.0009000000000000001
30,499.0,197.1511046886444,0.0,97.97267317771912,99.67931854724884,93.46963896462242,100.0,155.9669089597436,6.084058498835262,0.0009000000000000001
31,599.0,208.6287182569504,0.0,97.59228348731995,99.43170070648193,94.30729900157054,100.0,156.97460500045702,6.328051734962163,0.0009000000000000001
32,699.0,201.1545820236206,0.0,97.58922213315964,99.62937504053116,93.91537966776836,100.0,157.87656883303757,7.4666322658868225,0.0009000000000000001
33,799.0,202.45884251594543,0.0,97.7986501455307,99.53233313560486,93.9322911968559,100.0,158.81321915089183,8.558821972363067,0.0009000000000000001
34,899.0,202.45868277549746,0.0,97.53551036119461,99.52993935346603,94.10336104372311,100.0,159.94550011539553,4.273011180249404,0.0009000000000000001
35,999.0,190.7658325433731,0.0,97.96311402320862,99.6757053732872,94.75967495174883,100.0,160.7375060765653,8.611462646079348,0.0009000000000000001
36,1099.0,209.41666078567508,0.0,97.79317545890808,99.32347965240479,94.1034268652201,100.0,161.92505348157752,5.4033813824786066,0.0009000000000000001
37,1199.0,195.36870276927948,0.0,97.68968433141708,99.64663815498352,94.16969776948672,100.0,162.85746176065217,7.541499553443917,0.0009000000000000001
38,1299.0,194.538081407547,0.0,97.70767349004745,99.67435413599014,95.59405813619578,100.0,163.71836501705945,8.874861510322523,0.0009000000000000001
39,1399.0,205.3018355369568,0.0,97.39655208587646,99.56302487850189,94.68760928163036,100.0,164.80363503898724,5.1527250063194145,0.0009000000000000001
40,1499.0,200.55201554298404,0.0,97.70071667432785,99.46861970424652,95.44752398532654,100.0,165.9242187935026,5.508441494989527,0.0009000000000000001
41,1599.0,200.21189570426944,0.0,97.9469546675682,99.43960243463516,93.94768233402614,100.0,167.04374220285064,7.327623562944665,0.0009000000000000001
42,1699.0,197.4500768184662,0.0,97.42607992887497,99.65045702457428,95.28213281599946,100.0,168.08672302656439,5.954145863355171,0.0009000000000000001
43,1799.0,185.9195350408554,0.0,98.03929191827774,99.675242125988,95.7292951795917,100.0,168.8099400774144,6.725591373014307,0.0009000000000000001
44,1899.0,184.37892842292786,0.0,98.14034914970398,99.66138172149658,94.93135611021698,100.0,169.663610912493,4.791718284008305,0.0009000000000000001
45,1999.0,186.97526895999908,0.0,97.88739168643951,99.71560430526733,95.89526558294614,100.0,170.49000153647535,5.216787800698444,0.0009000000000000001
46,2099.0,188.97568655014038,0.0,97.87490224838257,99.62748903036118,95.71571103404018,100.0,171.3958024565095,5.409677046694762,0.0009000000000000001
47,2199.0,189.52261662483215,0.0,97.85822039842606,99.545161485672,96.03146310474433,100.0,172.44256117816633,6.747168339542772,0.0009000000000000001
48,2299.0,188.60652494430542,0.0,98.08691650629044,99.71233242750168,95.3265339827174,100.0,173.31940645130936,4.982793150939925,0.0009000000000000001
49,2399.0,184.81883704662323,0.0,98.2372516989708,99.68828862905502,95.97886477339797,100.0,174.16651889173056,2.3827209092242683,0.0009000000000000001
50,2499.0,190.48887646198273,0.0,98.00527089834213,99.66277325153351,95.43089890410378,100.0,175.16944344352044,4.488394494800391,0.0009000000000000001
51,2599.0,182.32315266132355,0.0,98.01113176345825,99.68934309482574,95.82024950188729,100.0,176.0556577064511,3.98385498641196,0.0009000000000000001
52,99.0,169.96525394916534,0.0,98.52680689096451,99.79804629087448,96.40881671357556,100.0,176.80203739107858,5.506535350606357,0.0008100000000000001
53,199.0,172.61044085025787,0.0,98.39996922016144,99.82718908786774,96.5965611023115,100.0,177.38485300506753,5.549585210874423,0.0008100000000000001
54,299.0,168.84969115257263,0.0,98.76791340112686,99.79035890102386,96.67201218436354,100.0,177.92168830206577,3.9616086419542174,0.0008100000000000001
55,399.0,166.99976336956024,0.0,98.63410496711731,99.74612373113632,96.53512875102082,100.0,178.58825939466047,4.995881047868375,0.0008100000000000001
56,499.0,169.94703102111816,0.0,98.6883345246315,99.81956607103348,96.43188405949985,100.0,179.24055074085084,4.952113140770774,0.0008100000000000001
57,599.0,176.85266876220703,0.0,98.5576041340828,99.73110109567642,95.92394105686752,100.0,180.0458170171695,3.9708091047261913,0.0008100000000000001
58,699.0,173.95139253139496,0.0,98.45183956623077,99.79493778944016,96.25178244404114,100.0,180.72319126777924,5.849616753530231,0.0008100000000000001
59,799.0,177.18546187877655,0.0,98.22069668769836,99.62016665935516,97.38756494197474,100.0,181.48466098418223,4.505768410075033,0.0008100000000000001
60,899.0,175.28512382507324,0.0,98.29280656576157,99.74123936891556,96.36086177499548,100.0,182.256369960471,3.021607603244794,0.0008100000000000001
61,999.0,178.3202849626541,0.0,98.39364224672318,99.72735726833344,96.25270318009022,100.0,183.11442099240261,7.187451686241383,0.0008100000000000001
62,1099.0,179.22554755210876,0.0,98.2628989815712,99.69492226839066,96.95358040835185,100.0,183.95298860585845,3.2389665053460686,0.0008100000000000001
63,1199.0,168.5273060798645,0.0,98.48120605945587,99.79050505161285,97.06061039462183,100.0,184.62982761952142,5.662348628949405,0.0008100000000000001
64,1299.0,178.32561802864075,0.0,98.26442247629166,99.61413782835007,97.18895960977372,100.0,185.5732596572738,5.893875653734784,0.0008100000000000001
65,1399.0,171.46407985687256,0.0,98.53899466991425,99.79648160934448,96.97447833908024,100.0,186.23985648992036,6.62744002984581,0.0008100000000000001
66,1499.0,168.50814473628998,0.0,98.57924437522888,99.75650435686111,96.77562323477659,100.0,186.86341939259978,3.6431033475706,0.0008100000000000001
67,1599.0,170.6696617603302,0.0,98.54563975334167,99.67558175325394,96.68787026561623,100.0,187.70812963582253,5.971033421573029,0.0008100000000000001
68,1699.0,178.14598774909973,0.0,98.1367369890213,99.72865468263626,96.59082734570795,100.0,188.55660809992855,4.946797105171735,0.0008100000000000001
69,1799.0,178.2320911884308,0.0,98.33055806159973,99.75445294380188,96.32717941816254,100.0,189.48255100310863,6.626747600389399,0.0008100000000000001
70,1899.0,170.31879079341888,0.0,98.33612447977066,99.81249338388443,97.28868118867956,100.0,190.2149163682546,5.6046875606867514,0.0008100000000000001
71,1999.0,168.67272794246674,0.0,98.49506479501724,99.87106364965439,97.08409330199659,100.0,190.92428461244572,3.6602914408608673,0.0008100000000000001
72,2099.0,171.6404229402542,0.0,98.578215777874,99.76754903793335,96.77558387576674,100.0,191.66338195421065,5.165199821167763,0.0008100000000000001
73,2199.0,169.30977487564087,0.0,98.60525315999985,99.77028101682663,96.8847277119321,100.0,192.50712219218818,4.112377352662643,0.0008100000000000001
74,2299.0,166.48198699951172,0.0,98.5358025431633,99.78288042545319,97.3001283342569,100.0,193.32217686675065,4.153218694213696,0.0008100000000000001
75,2399.0,166.89477252960205,0.0,98.48443752527237,99.83560335636139,97.27261776127033,100.0,193.92605600838337,4.968739884394155,0.0008100000000000001
76,2499.0,171.76167559623718,0.0,98.50839859247208,99.75058078765869,97.54301135438725,100.0,194.5999847180612,4.218148431229199,0.0008100000000000001
77,2599.0,163.23047876358032,0.0,98.79348677396774,99.83255583047867,97.5653787046253,100.0,195.22029780262625,4.044720519020722,0.0008100000000000001
